id,constituent,program,year_standing,lms
104,UP Los Banos,BS Development Communication,III,Google Classroom;Canvas
105,UP Diliman,BS Mechanical Engineering,I,UVLe;Google Classroom
106,UP Diliman,BS Statistics,IV,UVLe
107,UP Diliman,BS Computer Science,I,UVLe
108,UP Diliman,BS Industrial Engineering,II,UVLe
109,UP Diliman,BS Statistics,III,UVLe;Google Classroom;Discord
110,UP Los Banos,BS Statistics,II,Google Classroom;Canvas
111,UP Los Banos,BS Agricultural Biotechnology,IV,eLBI;Google Classroom;Canvas
112,UP Diliman,BS Statistics,IV,UVLe;Google Classroom
113,UP Los Banos,BS Agribusiness Management and Entrepreneurship,IV,Google Classroom
114,UP Diliman,BS Statistics,IV,UVLe
115,UP Diliman,BS Materials Engineering,V,UVLe;Google Classroom
116,UP Open University,Bachelor of Education Studies,I,Moodle
117,UP Diliman,B Secondary Education (Chemistry),III,UVLe;Google Classroom;Canvas
118,UP Diliman,"BS Hotel, Restaurant, and Institution Management",III,UVLe;Google Classroom
119,UP Diliman,BS Business Administration ,IV,UVLe;Google Classroom
120,UP Diliman,BFA Visual Communication,II,UVLe;Google Classroom;Edmodo
121,UP Los Banos,BS Food Science and Technology,II,eLBI;Google Classroom;Moodle
122,UP Diliman,BS Statistics,IV,UVLe
123,UP Los Banos,BS Development Communication,III,Google Classroom;Canvas
124,UP Visayas,BS Computer Science,I,UVLe
125,UP Los Banos,BS Civil Engineering,II,Google Classroom;Canvas
126,UP Diliman,BS Statistics,III,UVLe;Google Classroom
127,UP Diliman,BS Statistics,IV,UVLe;Google Classroom
128,UP Diliman,BS Statistics,IV,UVLe;Google Classroom
129,UP Diliman,BA Linguistics ,III,UVLe;Google Classroom
130,UP Diliman,BS Statistics,I,UVLe;Google Classroom
131,UP Diliman,VS Computer Engineering ,II,UVLe;Google Classroom
132,UP Diliman,BS Computer Engineering,I,UVLe;Google Classroom
133,UP Los Banos,BS Agricultural Biotechnology,I,Google Classroom;Canvas
134,UP Diliman,BS Statistics,III,UVLe;Google Classroom;Canvas;Moodle
135,UP Los Banos,BS Statistics,IV,Google Classroom;Canvas
136,UP Los Banos,BS Statistics ,I,Google Classroom;Canvas
137,UP Diliman,BA Broadcast Media Arts and Studies,III,Google Classroom;Canvas
138,UP Baguio,BA Social Sciences (Economics),III,UVLe;Moodle
139,UP Baguio,BS Biology major in General Biology,III,UVLe;Google Classroom;Moodle;Edmodo
140,UP Baguio,BS Biology ,III,UVLe;Google Classroom;Moodle;Edmodo
141,UP Baguio,BA Social Science Economics-Political Science,III,UVLe;Google Classroom
142,UP Diliman,BS Economics,IV,UVLe;Discord
143,UP Los Banos,BS Biology,II,Google Classroom;Canvas
144,UP Cebu,BS Computer Science,I,UVLe;Google Classroom
145,UP Diliman,BS Statistics,III,UVLe
146,UP Diliman,BS Mechanical Engineering,III,UVLe;Google Classroom
147,UP Los Banos,BS Biology,II,eLBI;Google Classroom;Canvas;Moodle
148,UP Diliman,BS Computer Science,II,UVLe;Google Classroom
149,UP Diliman,BS Statistics,IV,UVLe;Google Classroom
150,UP Diliman,BS Business Administration and Accountancy,IV,UVLe;Google Classroom
